NaceCodeGroup,BelgianMunicipality,Zipcode,Country,EntityCount
96,Roeselare,8800,BEL,658
70,Kontich,2550,BEL,657
47,Tessenderlo-Ham,3980,BEL,656
43,Halle,1501,BEL,655
47,Ottignies-Louvain-la-Neuve,1348,BEL,651
82,Dilbeek,1702,BEL,651
46,Waterloo,1410,BEL,650
82,Lokeren,9160,BEL,650
47,Zedelgem,8210,BEL,649
70,Rixensart,1330,BEL,649
70,Tervuren,3080,BEL,648
43,Maasmechelen,3630,BEL,647
73,Etterbeek,1040,BEL,646
81,Namur,5100,BEL,645
82,Braine-l'Alleud,1428,BEL,645
52,Unknown,,BEL,644
43,Geel,2440,BEL,643
71,Brugge,8200,BEL,642
82,Tournai,7500,BEL,642
43,Merelbeke-Melle,9820,BEL,641
47,Châtelet,6200,BEL,640
70,Lokeren,9160,BEL,639
43,Menen,8930,BEL,638
43,Zedelgem,8210,BEL,638
47,Zottegem,9620,BEL,636
56,Aalst,9300,BEL,636
62,Kontich,2550,BEL,636
43,Oostkamp,8020,BEL,634
63,Hasselt,3500,BEL,633
70,Ottignies-Louvain-la-Neuve,1348,BEL,631
86,Kortrijk,8500,BEL,631
43,Pelt,3900,BEL,630
47,Woluwe-Saint-Pierre,1150,BEL,630
82,Aalter,9880,BEL,629
68,Oostende,8400,BEL,628
25,Unknown,,BEL,627
46,Lokeren,9160,BEL,627
70,Mons,7033,BEL,626
82,Oudenaarde,9700,BEL,626
73,Woluwe-Saint-Pierre,1150,BEL,625
81,Charleroi,6031,BEL,622
47,Zwevegem,8552,BEL,621
75,Unknown,,BEL,620
62,Kortrijk,8500,BEL,619
82,Sint-Truiden,3800,BEL,618
43,Vilvoorde,1800,BEL,616
43,Lievegem,9930,BEL,615
96,La Louvière,7100,BEL,615
43,Harelbeke,8530,BEL,614
70,Tournai,7540,BEL,614
43,Wemmel,1780,BEL,613
71,Namur,5000,BEL,613
86,Mechelen,2800,BEL,612
10,Antwerpen,2000,BEL,609
47,Wetteren,9230,BEL,609
47,Ans,4432,BEL,608
43,Verviers,4800,BEL,607
47,Puurs-Sint-Amands,2870,BEL,607
43,Ganshoren,1083,BEL,600
64,Knokke-Heist,8300,BEL,600
93,Bruxelles,1120,BEL,600
47,Andenne,5300,BEL,599
47,Zonhoven,3520,BEL,599
63,Ixelles,1050,BEL,598
68,Mechelen,2800,BEL,597
95,Bruxelles,1000,BEL,597
68,Aalst,9320,BEL,596
81,Brugge,8000,BEL,596
70,Edegem,2650,BEL,595
69,Hasselt,3500,BEL,593
46,Dilbeek,1702,BEL,592
86,Ixelles,1050,BEL,592
43,Zwevegem,8550,BEL,591
47,Binche,7134,BEL,589
69,Charleroi,6010,BEL,589
43,Lochristi,9080,BEL,588
43,Hoogstraten,2321,BEL,587
59,Bruxelles,1000,BEL,587
73,Woluwe-Saint-Lambert,1200,BEL,587
47,Lievegem,9920,BEL,586
85,Aalst,9300,BEL,585
47,Kapellen,2950,BEL,584
62,Zaventem,1930,BEL,584
69,Leuven,3000,BEL,584
70,Nazareth-De Pinte,9810,BEL,581
47,Schilde,2970,BEL,580
68,Waregem,8790,BEL,579
46,Mouscron,7711,BEL,578
47,Willebroek,2830,BEL,578
73,Saint-Gilles,1060,BEL,578
43,Oudsbergen,3670,BEL,577
46,Heist-op-den-Berg,2220,BEL,577
49,Schaerbeek,1030,BEL,577
70,Aalter,9880,BEL,577
70,Heist-op-den-Berg,2220,BEL,577
47,Ronse,9600,BEL,576
96,Schaerbeek,1030,BEL,575
82,Wavre,1300,BEL,574
69,Saint-Gilles,1060,BEL,573
47,Kontich,2550,BEL,572
56,Uccle,1180,BEL,572
70,Genk,3600,BEL,572
70,Sint-Genesius-Rode,1640,BEL,572
43,Oudenaarde,9700,BEL,570
73,Forest,1190,BEL,570
81,Ixelles,1050,BEL,570
73,Waterloo,1410,BEL,569
90,Saint-Gilles,1060,BEL,568
43,Wavre,1301,BEL,567
43,Aarschot,3201,BEL,566
43,Berchem-Sainte-Agathe,1082,BEL,566
47,Torhout,8820,BEL,566
82,Waterloo,1410,BEL,566
43,Braine-l'Alleud,1420,BEL,565
43,Pajottegem,1570,BEL,564
85,Woluwe-Saint-Lambert,1200,BEL,564
86,Aalst,9300,BEL,564
41,Asse,1730,BEL,563
18,Gent,9030,BEL,562
70,Asse,1730,BEL,562
73,Namur,5000,BEL,562
46,Braine-l'Alleud,1420,BEL,561
47,Westerlo,2260,BEL,561
70,Lier,2500,BEL,561
82,Dendermonde,9200,BEL,561
95,Liège,4030,BEL,561
47,Bornem,2880,BEL,560
69,Brugge,8000,BEL,559
82,Nazareth-De Pinte,9810,BEL,559
47,Ciney,5590,BEL,558
47,Wingene,8750,BEL,558
43,Hamme (Vl.),9220,BEL,557
46,Wevelgem,8560,BEL,556
81,Liège,4020,BEL,556
82,Heist-op-den-Berg,2220,BEL,555
85,Roeselare,8800,BEL,555
43,Temse,9140,BEL,554
47,Mortsel,2640,BEL,554
68,Sint-Niklaas,9100,BEL,554
47,Courcelles,6180,BEL,551
47,Oudsbergen,3660,BEL,550
70,Sint-Martens-Latem,9830,BEL,550
90,Forest,1190,BEL,550
43,Etterbeek,1040,BEL,549
62,Aalst,9320,BEL,549
74,Saint-Gilles,1060,BEL,548
82,Lier,2500,BEL,546
16,Unknown,,BEL,545
47,Eupen,4700,BEL,545
47,Zoersel,2980,BEL,545
42,Antwerpen,2030,BEL,544
81,Aalst,9308,BEL,544
47,Koksijde,8670,BEL,543
47,Overijse,3090,BEL,543
82,Geel,2440,BEL,542
81,Uccle,1180,BEL,541
43,Turnhout,2300,BEL,540
47,Balen,2490,BEL,539
56,Genk,3600,BEL,539
82,Tielt,8760,BEL,539
82,Wevelgem,8560,BEL,539
43,Lommel,3920,BEL,538
41,Anderlecht,1070,BEL,536
46,Sint-Truiden,3800,BEL,536
46,Turnhout,2300,BEL,536
47,Lanaken,3621,BEL,536
70,Molenbeek-Saint-Jean,1080,BEL,536
47,Nazareth-De Pinte,9810,BEL,535
47,Soignies,7060,BEL,535
90,Hasselt,3500,BEL,533
82,Schoten,2900,BEL,532
41,Charleroi,6060,BEL,531
47,Huy,4500,BEL,531
43,Zele,9240,BEL,530
46,Brasschaat,2930,BEL,529
96,Sint-Truiden,3800,BEL,529
64,Brasschaat,2930,BEL,527
82,Turnhout,2300,BEL,527
43,Herentals,2200,BEL,525
82,Tongeren-Borgloon,3840,BEL,525
96,Anderlecht,1070,BEL,525
96,Tournai,7500,BEL,525
62,Anderlecht,1070,BEL,524
69,Etterbeek,1040,BEL,524
93,Liège,4000,BEL,524
43,Tessenderlo-Ham,3945,BEL,523
62,Charleroi,6000,BEL,523
90,Mechelen,2800,BEL,523
43,Mouscron,7700,BEL,522
46,Oudenaarde,9700,BEL,522
74,Forest,1190,BEL,521
46,Aalter,9880,BEL,520
71,Schaerbeek,1030,BEL,520
82,Beringen,3581,BEL,520
68,Schaerbeek,1030,BEL,519
82,Watermael-Boitsfort,1170,BEL,519
43,Herstal,4040,BEL,518
68,Brasschaat,2930,BEL,518
85,Sint-Niklaas,9100,BEL,518
43,Wuustwezel,2990,BEL,517
47,Marche-en-Famenne,6900,BEL,517
74,Sint-Niklaas,9100,BEL,517
82,Overijse,3090,BEL,517
55,Brugge,8000,BEL,516
47,Hoogstraten,2320,BEL,514
47,Nijlen,2560,BEL,514
68,Schilde,2970,BEL,514
43,Tienen,3300,BEL,513
47,Scherpenheuvel-Zichem,3270,BEL,513
68,Deinze,9800,BEL,513
69,Namur,5000,BEL,513
86,Mons,7000,BEL,511
71,Kortrijk,8510,BEL,510
82,Kontich,2550,BEL,510
96,Beringen,3582,BEL,510
47,Maaseik,3680,BEL,509
70,Dendermonde,9200,BEL,509
96,Heist-op-den-Berg,2223,BEL,507
43,Evere,1140,BEL,506
70,Zoersel,2980,BEL,506
88,Antwerpen,2020,BEL,506
71,Forest,1190,BEL,505
85,Oostende,8400,BEL,505
43,Seraing,4100,BEL,504
46,Lier,2500,BEL,504
69,Watermael-Boitsfort,1170,BEL,504
93,Brugge,8000,BEL,504
47,Arlon,6700,BEL,503
46,La Louvière,7100,BEL,502
85,Braine-l'Alleud,1420,BEL,502
47,Fleurus,6224,BEL,501
68,Woluwe-Saint-Pierre,1150,BEL,501
43,Zonhoven,3520,BEL,500
62,Auderghem,1160,BEL,500
82,Brecht,2960,BEL,500
62,Mons,7000,BEL,499
70,Beersel,1654,BEL,498
46,Schoten,2900,BEL,497
82,Auderghem,1160,BEL,497
43,Overijse,3090,BEL,496
43,Zottegem,9620,BEL,496
47,Auderghem,1160,BEL,496
47,Poperinge,8970,BEL,496
96,Deinze,9800,BEL,496
47,Londerzeel,1840,BEL,494
56,Sint-Niklaas,9100,BEL,494
95,Brugge,8000,BEL,494
56,Tournai,7500,BEL,493
82,Lochristi,9080,BEL,493
43,Balen,2490,BEL,492
43,Lier,2500,BEL,492
46,Ieper,8900,BEL,492
47,Bastogne,6600,BEL,492
46,Nivelles,1400,BEL,491
47,Blankenberge,8370,BEL,491
47,Evere,1140,BEL,491
47,Middelkerke,8430,BEL,491
71,Mechelen,2800,BEL,491
82,Vilvoorde,1800,BEL,491
96,Tongeren-Borgloon,3700,BEL,491
47,Dilsen-Stokkem,3650,BEL,490
47,Hamme (Vl.),9220,BEL,490
58,Antwerpen,2600,BEL,490
85,Etterbeek,1040,BEL,490
46,Geel,2440,BEL,489
47,Diksmuide,8600,BEL,489
47,Kalmthout,2920,BEL,489
62,Woluwe-Saint-Pierre,1150,BEL,489
68,Woluwe-Saint-Lambert,1200,BEL,489
70,Geel,2440,BEL,489
74,Charleroi,6060,BEL,489
82,Kapellen,2950,BEL,489
82,Temse,9140,BEL,489
85,Deinze,9800,BEL,489
43,Mol,2400,BEL,488
46,Tielt,8700,BEL,488
47,Herve,4651,BEL,488
81,Asse,1731,BEL,488
10,Unknown,,BEL,487
46,Grimbergen,1850,BEL,487
47,Rixensart,1330,BEL,487
64,Leuven,3000,BEL,485
74,Aalst,9320,BEL,485
47,Bree,3960,BEL,484
82,Oostkamp,8020,BEL,484
46,Herentals,2200,BEL,483
47,Sint-Katelijne-Waver,2860,BEL,483
68,Mons,7021,BEL,483
73,Aalst,9320,BEL,483
86,Roeselare,8800,BEL,483
69,Schaerbeek,1030,BEL,482
81,Forest,1190,BEL,482
82,Ieper,8902,BEL,481
46,Izegem,8870,BEL,480
47,Aartselaar,2630,BEL,480
47,Eeklo,9900,BEL,479
47,Hannut,4280,BEL,479
42,Unknown,,BEL,478
46,Dendermonde,9200,BEL,478
70,Ieper,8900,BEL,478
68,Beveren-Kruibeke-Zwijndrecht,9120,BEL,477
43,Wetteren,9230,BEL,476
68,Waterloo,1410,BEL,476
74,Roeselare,8800,BEL,476
47,Zele,9240,BEL,475
82,Asse,1731,BEL,475
33,Unknown,,BEL,473
43,Schoten,2900,BEL,473
47,Erpe-Mere,9420,BEL,473
63,Brugge,8000,BEL,473
63,Mechelen,2800,BEL,473
68,Etterbeek,1040,BEL,473
69,Kortrijk,8500,BEL,473
