EnterpriseCount,BelgianMunicipality,Zipcode,Country
176,Daverdisse,6929,BEL
175,Martelange,6630,BEL
165,Tongeren,3700,BEL
152,Ham,3945,BEL
133,Merelbeke,9820,BEL
127,Bilzen,3740,BEL
119,Borsbeek,2150,BEL
117,Zwijndrecht,2070,BEL
99,Mesen,8957,BEL
99,Bertogne,6687,BEL
97,Tessenderlo,3980,BEL
90,Gooik,1755,BEL
88,Wachtebeke,9185,BEL
80,LIEGE,4000,BEL
72,Kruibeke,9150,BEL
65,Moerbeke (Waas),9180,BEL
49,Borgloon,3840,BEL
48,Melle,9090,BEL
43,Kortessem,3720,BEL
41,Overpelt,3900,BEL
40,Hoeselt,3730,BEL
39,Ruiselede,8755,BEL
37,Meulebeke,8760,BEL
34,Herne,1540,BEL
32,Puurs,2870,BEL
30,Opglabbeek,3660,BEL
30,Meeuwen-Gruitrode,3670,BEL
28,De Pinte,9840,BEL
27,Herstappe,3717,BEL
24,Neerpelt,3910,BEL
24,Lovendegem,9920,BEL
22,Nevele,9850,BEL
16,Knesselare,9910,BEL
15,Galmaarden,1570,BEL
14,Zomergem,9930,BEL
14,MONS,7000,BEL
13,OUGREE,4000,BEL
12,ANS (LIEGE),4000,BEL
11,Kruishoutem,9770,BEL
9,Waarschoot,9950,BEL
9,TIENEN,3300,BEL
8,FLEMALLE-HAUTE,4400,BEL
7,LA LOUVIERE,7100,BEL
7,CHENEE (CHAUDFONTAINE),4030,BEL
6,Sint-Amands,2890,BEL
6,MALMEDY,4960,BEL
6,GELMEN,****,BEL
6,BUELLINGEN,4760,BEL
5,Zingem,9750,BEL
5,TONGEREN,3700,BEL
5,LOUVAIN-LA-NEUVE,1348,BEL
5,Incomplet/Onvolledig,****,BEL
5,CEROUX-MOUSTY,1341,BEL
5,BINCHE,7130,BEL
5,BEVEREN-LEIE,8791,BEL
4,WIJGMAAL,3018,BEL
4,TOURNAI,7500,BEL
4,ROSIERES,1331,BEL
4,ROCHEFORT,5580,BEL
4,PLAINEVAUX,4122,BEL
4,PETEGEM,9790,BEL
4,KAPELLEN,2950,BEL
4,JEMAPPES,7012,BEL
4,GRIVEGNEE,4030,BEL
4,COMINES,7780,BEL
4,BEVERCE,4960,BEL
4,BERCHEM-ANTWERPEN,2600,BEL
4,BELLEVAUX-LIGNEUVILLE,4960,BEL
4,BEAURAING,5570,BEL
4,BARVAUX-SUR-OURTHE,6940,BEL
3,WERIS,6940,BEL
3,WAIMES,4950,BEL
3,VIELSALM,6690,BEL
3,SART-DAMES-AVELINES,1495,BEL
3,RECOGNE,6800,BEL
3,OOSTENDE,8400,BEL
3,NINOVE,9400,BEL
3,NEUFCHATEAU,6840,BEL
3,LEUVEN,3000,BEL
3,LEDE,9340,BEL
3,LA ROCHE-EN-ARDENNE,6980,BEL
3,IVOZ-RAMET,4400,BEL
3,HOUDENG-GOEGNIES,7110,BEL
3,HONSEM,****,BEL
3,HAINE-SAINT-PIERRE,7100,BEL
3,FOSSES-LA-VILLE,5070,BEL
3,FLORENNES,5621,BEL
3,CHATELINEAU,6200,BEL
3,BUETGENBACH,4750,BEL
3,BRAINE-LE-CHATEAU,1440,BEL
3,BOUILLON,6830,BEL
3,AALTER,9880,BEL
2,ZANDBERGEN,9506,BEL
2,WARZEE,4590,BEL
2,WAREMME,4300,BEL
2,WANDRE (OUPEYE),4020,BEL
2,VRASENE,9120,BEL
2,VORST (KEMPEN),2430,BEL
2,VILVOORDE,1800,BEL
2,VERVIERS,4800,BEL
2,TRIVIERES,7100,BEL
2,THY-LE-CHATEAU,5651,BEL
2,STOUMONT,4987,BEL
2,SOMZEE,5651,BEL
2,SOMME-LEUZE,5377,BEL
2,RUISBROEK (BT.),1601,BEL
2,ROY,6900,BEL
2,ROESELARE,8800,BEL
2,QUIEVRAIN,7380,BEL
2,PETIT-ENGHIEN,7850,BEL
2,ORGEO,6880,BEL
2,OORDEGEM,9340,BEL
2,MOUSCRON,7700,BEL
2,MERELBEKE,9820,BEL
2,MENEN,8930,BEL
2,MELIN,1370,BEL
2,MARKE,8510,BEL
2,MARCHIN,4570,BEL
2,MANDERFELD,4760,BEL
2,MAISIERES,7020,BEL
2,LILLOIS-WITTERZEE,1428,BEL
2,LIERNEUX,4990,BEL
2,LIBRAMONT,6800,BEL
2,JEMELLE,5580,BEL
2,HOUTAIN-SAINT-SIMEON,4682,BEL
2,HOUDENG-AIMERIES,7110,BEL
2,HOTTON,6990,BEL
2,HEUSDEN (O.-VL.),9070,BEL
2,HERVE,4650,BEL
2,HECHTEL,3940,BEL
2,HAVRE,7021,BEL
2,HANZINNE,5621,BEL
2,HANZINELLE,5621,BEL
2,HANNUT,4280,BEL
2,GRAPFONTAINE,6840,BEL
2,GOSSELIES,6041,BEL
2,GOEGNIES-CHAUSSEE,7040,BEL
2,FROIDCHAPELLE,6441,BEL
2,FLOREFFE,5150,BEL
2,FLEMALLE-GRANDE,4400,BEL
2,FESCHAUX,5570,BEL
2,EREZEE,6997,BEL
2,ELSENBORN,4750,BEL
2,DURBUY,6941,BEL
2,DILSEN,3650,BEL
2,DEUX-ACREN,7864,BEL
2,DESTELBERGEN,9070,BEL
2,CHENEE,4032,BEL
2,CHATELET,6200,BEL
2,BOUFFIOULX,6200,BEL
2,BLEHARIES,7620,BEL
2,BIERGES,1301,BEL
2,BERTRIX,6880,BEL
2,BEAUSAINT,6980,BEL
2,BEAUMONT,6500,BEL
2,BARCHON,4671,BEL
2,ANDENNE,5300,BEL
2,ADEGEM,9991,BEL
1,ZINGEM,9750,BEL
1,ZEVERGEM,9840,BEL
1,ZETRUD-LUMAY,1370,BEL
1,ZAVENTEM,1930,BEL
1,XHORIS,4190,BEL
1,Wilsele,3012,BEL
1,Wijtschate,8953,BEL
1,WUUSTWEZEL,2990,BEL
1,WONDELGEM,9032,BEL
1,WILLEMEAU,7506,BEL
1,WIEZE,9280,BEL
1,WIERDE,5100,BEL
1,WERVIK,8940,BEL
1,WERCHTER,3118,BEL
1,WAVREILLE,5580,BEL
1,WAVRE,1300,BEL
1,WAUDREZ,7131,BEL
1,WASSEIGES,4219,BEL
1,WANFERCEE-BAULET,6224,BEL
1,WANCENNES,5570,BEL
1,WAHA,6900,BEL
1,VRESSE-SUR-SEMOIS,5550,BEL
1,VONECHE,5570,BEL
1,VOGENEE,5650,BEL
1,VOEREN,3790,BEL
1,VLIERMAAL,3724,BEL
1,VLAMERTINGE,8908,BEL
1,VISE,4600,BEL
1,VILLERS-SAINTE-GERTRUDE,6941,BEL
1,VILLERS-SAINT-AMAND,7812,BEL
1,VILLERS-LE-GAMBON,5600,BEL
1,VICHTE,8570,BEL
1,VEURNE,8630,BEL
1,VELDEGEM,8210,BEL
1,VAUX-LEZ-ROSIERES,6640,BEL
1,VAULX,7536,BEL
1,Tarcienne,5651,BEL
1,TUBIZE,1480,BEL
1,TROOZ,4870,BEL
1,TRANSINNE,6890,BEL
1,TORHOUT,8820,BEL
1,TISSELT,2830,BEL
1,TILLY,1495,BEL
1,THIMISTER-CLERMONT,4890,BEL
1,THEUX,4910,BEL
1,TERALFENE,1790,BEL
1,TEMSE,9140,BEL
1,TAVIGNY,6662,BEL
1,TARCIENNE,5651,BEL
1,Sart(lez-Spa),4845,BEL
1,SUGNY,5550,BEL
1,STREPY-BRACQUEGNIES,7110,BEL
1,STREE-HAINAUT,6511,BEL
1,STEMBERT,4801,BEL
1,STEENOKKERZEEL,1820,BEL
1,SPRIMONT,4140,BEL
1,SPIERE,8587,BEL
1,SOY (HOTTON),6990,BEL
1,SOVET,5590,BEL
1,SOLRE-SAINT-GERY,6500,BEL
1,SINT-TRUIDEN,3800,BEL
1,SINT-NIKLAAS,9100,BEL
1,SINT-MARTENS-VOEREN,3790,BEL
1,SINT-DENIJS-WESTREM,9051,BEL
1,SINT-AMANDSBERG,9040,BEL
1,SINT-AMANDS,2890,BEL
1,SERAING,4100,BEL
1,SEPTON,6940,BEL
1,SELOIGNES,6596,BEL
1,SCLAYN,5300,BEL
1,SCHUIFERSKAPELLE,8700,BEL
1,SCHOENBERG,4782,BEL
1,SCHERPENHEUVEL,3270,BEL
1,SCHELLEBELLE,9260,BEL
1,SART-LEZ-SPA,4845,BEL
1,SARS-LA-BUISSIERE,6542,BEL
1,SANKT VITH,4780,BEL
1,SAMREE,6982,BEL
1,SAINTE-MARIE-CHEVIGNY,6800,BEL
1,SAINT-VINCENT,6730,BEL
1,SAINT-VAAST,7100,BEL
1,SAINT-SYMPHORIEN,7030,BEL
1,SAINT-PIERRE,6800,BEL
1,SAINT-MAUR,7500,BEL
1,SAINT-HUBERT,6870,BEL
1,SAINT-DENIS-BOVESSE,5081,BEL
1,Rocourt,4000,BEL
1,ROUX,6044,BEL
1,ROUVEROY,7120,BEL
1,ROLY,5600,BEL
1,ROCOURT,4000,BEL
1,ROBERTVILLE,4950,BEL
1,REVES,6210,BEL
1,RECHT,4780,BEL
1,RANSART,6043,BEL
1,RAMSEL,2230,BEL
1,RAMILLIES-OFFUS,1367,BEL
1,QUEVAUCAMPS,7972,BEL
1,QUENAST,1430,BEL
