EnterpriseCount,NaceCodeGroup,JuridicalForm,Code,Description
50,14,721.0,721,Société ou association sans personnalité juridique
31,14,15.0,015,Société privée à responsabilité limitée
14,14,11.0,011,Société en nom collectif
11,14,12.0,012,Société en commandite simple
8,14,30.0,030,Entité étrangère
6,14,706.0,706,Société coopérative
6,14,25.0,025,Société agricole
6,14,17.0,017,Association sans but lucratif
3,14,3.0,003,Unité TVA
1,14,412.0,412,Centre public d'action sociale
1,14,411.0,411,Ville / commune
1,14,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
195,14,,,
123,14,610.0,610,Société à responsabilité limitée
30,14,612.0,612,Société en commandite
16,14,721.0,721,Société ou association sans personnalité juridique
14,14,14.0,014,Société anonyme
12,14,11.0,011,Société en nom collectif
8,14,15.0,015,Société privée à responsabilité limitée
5,14,17.0,017,Association sans but lucratif
3,14,3.0,003,Unité TVA
2,14,12.0,012,Société en commandite simple
1,14,706.0,706,Société coopérative
1,14,25.0,025,Société agricole
205,14,,,
101,14,610.0,610,Société à responsabilité limitée
32,14,612.0,612,Société en commandite
22,14,721.0,721,Société ou association sans personnalité juridique
16,14,11.0,011,Société en nom collectif
13,14,14.0,014,Société anonyme
9,14,15.0,015,Société privée à responsabilité limitée
5,14,12.0,012,Société en commandite simple
3,14,30.0,030,Entité étrangère
3,14,17.0,017,Association sans but lucratif
2,14,25.0,025,Société agricole
1,14,706.0,706,Société coopérative
1,14,3.0,003,Unité TVA
2426,14,,,
499,14,610.0,610,Société à responsabilité limitée
83,14,612.0,612,Société en commandite
75,14,17.0,017,Association sans but lucratif
66,14,11.0,011,Société en nom collectif
58,14,15.0,015,Société privée à responsabilité limitée
48,14,14.0,014,Société anonyme
27,14,721.0,721,Société ou association sans personnalité juridique
25,14,12.0,012,Société en commandite simple
3,14,706.0,706,Société coopérative
2,14,8.0,008,Société coopérative à responsabilité limitée
1,14,411.0,411,Ville / commune
1,14,30.0,030,Entité étrangère
1,14,25.0,025,Société agricole
1,14,3.0,003,Unité TVA
18617,15,,,
2960,15,721.0,721,Société ou association sans personnalité juridique
1546,15,610.0,610,Société à responsabilité limitée
1109,15,612.0,612,Société en commandite
289,15,14.0,014,Société anonyme
215,15,11.0,011,Société en nom collectif
182,15,15.0,015,Société privée à responsabilité limitée
139,15,25.0,025,Société agricole
61,15,12.0,012,Société en commandite simple
46,15,706.0,706,Société coopérative
37,15,17.0,017,Association sans but lucratif
32,15,3.0,003,Unité TVA
30,15,6.0,006,Société coopérative à responsabilité illimitée
27,15,8.0,008,Société coopérative à responsabilité limitée
6,15,30.0,030,Entité étrangère
3,15,411.0,411,Ville / commune
2,15,340.0,340,Autorité de la Communauté française
1,15,151.0,151,Autre forme légale
1,15,124.0,124,Etablissement public
1,15,16.0,016,Société coopérative (ancien statut)
1,15,13.0,013,Société en commandite par actions
6964,16,,,
2983,16,610.0,610,Société à responsabilité limitée
653,16,612.0,612,Société en commandite
364,16,721.0,721,Société ou association sans personnalité juridique
283,16,11.0,011,Société en nom collectif
240,16,14.0,014,Société anonyme
233,16,12.0,012,Société en commandite simple
229,16,15.0,015,Société privée à responsabilité limitée
92,16,706.0,706,Société coopérative
83,16,17.0,017,Association sans but lucratif
55,16,6.0,006,Société coopérative à responsabilité illimitée
31,16,3.0,003,Unité TVA
28,16,8.0,008,Société coopérative à responsabilité limitée
14,16,25.0,025,Société agricole
10,16,30.0,030,Entité étrangère
2,16,114.0,114,Société anonyme de droit public
2,16,60.0,060,Groupement d'intérêt économique
1,16,508.0,508,Société coopérative à responsabilité limitée à finalité sociale
1,16,151.0,151,Autre forme légale
1,16,51.0,051,Autre forme de droit privé avec personnalité juridique
1,16,16.0,016,Société coopérative (ancien statut)
2853,16,,,
882,16,610.0,610,Société à responsabilité limitée
231,16,612.0,612,Société en commandite
95,16,721.0,721,Société ou association sans personnalité juridique
79,16,17.0,017,Association sans but lucratif
75,16,15.0,015,Société privée à responsabilité limitée
72,16,11.0,011,Société en nom collectif
68,16,14.0,014,Société anonyme
55,16,12.0,012,Société en commandite simple
9,16,706.0,706,Société coopérative
8,16,3.0,003,Unité TVA
7,16,8.0,008,Société coopérative à responsabilité limitée
6,16,30.0,030,Entité étrangère
5,16,25.0,025,Société agricole
1,16,16.0,016,Société coopérative (ancien statut)
1,16,6.0,006,Société coopérative à responsabilité illimitée
596,16,,,
325,16,610.0,610,Société à responsabilité limitée
81,16,612.0,612,Société en commandite
34,16,721.0,721,Société ou association sans personnalité juridique
32,16,12.0,012,Société en commandite simple
30,16,11.0,011,Société en nom collectif
25,16,15.0,015,Société privée à responsabilité limitée
25,16,14.0,014,Société anonyme
12,16,17.0,017,Association sans but lucratif
9,16,706.0,706,Société coopérative
3,16,25.0,025,Société agricole
3,16,3.0,003,Unité TVA
1,16,60.0,060,Groupement d'intérêt économique
1,16,8.0,008,Société coopérative à responsabilité limitée
67,17,,,
55,17,610.0,610,Société à responsabilité limitée
7,17,17.0,017,Association sans but lucratif
7,17,14.0,014,Société anonyme
4,17,612.0,612,Société en commandite
4,17,11.0,011,Société en nom collectif
3,17,15.0,015,Société privée à responsabilité limitée
1,17,721.0,721,Société ou association sans personnalité juridique
1,17,706.0,706,Société coopérative
1,17,12.0,012,Société en commandite simple
1320,21,,,
629,21,610.0,610,Société à responsabilité limitée
110,21,14.0,014,Société anonyme
72,21,15.0,015,Société privée à responsabilité limitée
37,21,612.0,612,Société en commandite
28,21,411.0,411,Ville / commune
22,21,11.0,011,Société en nom collectif
16,21,17.0,017,Association sans but lucratif
12,21,721.0,721,Société ou association sans personnalité juridique
10,21,12.0,012,Société en commandite simple
9,21,30.0,030,Entité étrangère
4,21,706.0,706,Société coopérative
4,21,412.0,412,Centre public d'action sociale
3,21,8.0,008,Société coopérative à responsabilité limitée
3,21,3.0,003,Unité TVA
2,21,6.0,006,Société coopérative à responsabilité illimitée
1,21,508.0,508,Société coopérative à responsabilité limitée à finalité sociale
1,21,379.0,379,Ministère de l'Intérieur
1,21,320.0,320,Autorité de la Région wallonne
1,21,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
1,21,125.0,125,Association internationale sans but lucratif
1,21,124.0,124,Etablissement public
1,21,114.0,114,Société anonyme de droit public
1,21,29.0,029,Fondation d'utilité publique
1,21,25.0,025,Société agricole
1,21,16.0,016,Société coopérative (ancien statut)
1,21,13.0,013,Société en commandite par actions
2891,22,,,
884,22,610.0,610,Société à responsabilité limitée
218,22,14.0,014,Société anonyme
127,22,15.0,015,Société privée à responsabilité limitée
38,22,411.0,411,Ville / commune
35,22,612.0,612,Société en commandite
33,22,721.0,721,Société ou association sans personnalité juridique
23,22,11.0,011,Société en nom collectif
16,22,12.0,012,Société en commandite simple
12,22,17.0,017,Association sans but lucratif
6,22,706.0,706,Société coopérative
6,22,412.0,412,Centre public d'action sociale
6,22,8.0,008,Société coopérative à responsabilité limitée
4,22,3.0,003,Unité TVA
2,22,508.0,508,Société coopérative à responsabilité limitée à finalité sociale
2,22,30.0,030,Entité étrangère
2,22,16.0,016,Société coopérative (ancien statut)
2,22,6.0,006,Société coopérative à responsabilité illimitée
1,22,418.0,418,Régie communale autonome
1,22,400.0,400,Autorité provinciale
1,22,320.0,320,Autorité de la Région wallonne
1,22,124.0,124,Etablissement public
1,22,13.0,013,Société en commandite par actions
34,23,,,
14,23,610.0,610,Société à responsabilité limitée
5,23,14.0,014,Société anonyme
3,23,15.0,015,Société privée à responsabilité limitée
3,23,12.0,012,Société en commandite simple
2,23,612.0,612,Société en commandite
1,23,11.0,011,Société en nom collectif
979,24,,,
291,24,610.0,610,Société à responsabilité limitée
45,24,14.0,014,Société anonyme
31,24,15.0,015,Société privée à responsabilité limitée
25,24,612.0,612,Société en commandite
19,24,17.0,017,Association sans but lucratif
13,24,11.0,011,Société en nom collectif
12,24,721.0,721,Société ou association sans personnalité juridique
10,24,12.0,012,Société en commandite simple
7,24,411.0,411,Ville / commune
6,24,706.0,706,Société coopérative
3,24,30.0,030,Entité étrangère
2,24,3.0,003,Unité TVA
1,24,412.0,412,Centre public d'action sociale
1,24,310.0,310,Autorité de la Région flamande et de la Communauté flamande
1,24,114.0,114,Société anonyme de droit public
1,24,29.0,029,Fondation d'utilité publique
1,24,13.0,013,Société en commandite par actions
1,24,6.0,006,Société coopérative à responsabilité illimitée
111,31,610.0,610,Société à responsabilité limitée
33,31,,,
21,31,14.0,014,Société anonyme
17,31,15.0,015,Société privée à responsabilité limitée
6,31,612.0,612,Société en commandite
6,31,11.0,011,Société en nom collectif
4,31,17.0,017,Association sans but lucratif
1,31,706.0,706,Société coopérative
19,31,,,
17,31,610.0,610,Société à responsabilité limitée
11,31,17.0,017,Association sans but lucratif
2,31,612.0,612,Société en commandite
1,31,721.0,721,Société ou association sans personnalité juridique
30,32,,,
26,32,610.0,610,Société à responsabilité limitée
3,32,612.0,612,Société en commandite
3,32,14.0,014,Société anonyme
3,32,11.0,011,Société en nom collectif
2,32,17.0,017,Association sans but lucratif
1,32,15.0,015,Société privée à responsabilité limitée
87,32,,,
74,32,610.0,610,Société à responsabilité limitée
31,32,14.0,014,Société anonyme
5,32,17.0,017,Association sans but lucratif
5,32,15.0,015,Société privée à responsabilité limitée
4,32,721.0,721,Société ou association sans personnalité juridique
4,32,612.0,612,Société en commandite
2,32,12.0,012,Société en commandite simple
2,32,11.0,011,Société en nom collectif
2,32,8.0,008,Société coopérative à responsabilité limitée
1,32,706.0,706,Société coopérative
1,33,,,
2,51,610.0,610,Société à responsabilité limitée
1,51,30.0,030,Entité étrangère
1,51,,,
2,61,,,
1,61,610.0,610,Société à responsabilité limitée
4,62,610.0,610,Société à responsabilité limitée
1,62,,,
1,71,610.0,610,Société à responsabilité limitée
1,71,14.0,014,Société anonyme
1,72,610.0,610,Société à responsabilité limitée
3,72,14.0,014,Société anonyme
2,72,610.0,610,Société à responsabilité limitée
1,72,612.0,612,Société en commandite
102,81,14.0,014,Société anonyme
59,81,610.0,610,Société à responsabilité limitée
25,81,,,
13,81,15.0,015,Société privée à responsabilité limitée
2,81,11.0,011,Société en nom collectif
1,81,721.0,721,Société ou association sans personnalité juridique
1,81,612.0,612,Société en commandite
1,81,3.0,003,Unité TVA
49,81,14.0,014,Société anonyme
27,81,610.0,610,Société à responsabilité limitée
7,81,,,
5,81,15.0,015,Société privée à responsabilité limitée
1,81,721.0,721,Société ou association sans personnalité juridique
1,81,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
1,81,51.0,051,Autre forme de droit privé avec personnalité juridique
1,81,30.0,030,Entité étrangère
1,81,12.0,012,Société en commandite simple
1,81,3.0,003,Unité TVA
15,81,610.0,610,Société à responsabilité limitée
15,81,14.0,014,Société anonyme
3,81,706.0,706,Société coopérative
3,81,15.0,015,Société privée à responsabilité limitée
2,81,,,
50,81,14.0,014,Société anonyme
33,81,610.0,610,Société à responsabilité limitée
6,81,15.0,015,Société privée à responsabilité limitée
5,81,,,
2,81,721.0,721,Société ou association sans personnalité juridique
2,81,3.0,003,Unité TVA
1,81,706.0,706,Société coopérative
1,81,612.0,612,Société en commandite
1,81,51.0,051,Autre forme de droit privé avec personnalité juridique
1,81,11.0,011,Société en nom collectif
11,81,14.0,014,Société anonyme
7,81,610.0,610,Société à responsabilité limitée
1,81,706.0,706,Société coopérative
1,81,15.0,015,Société privée à responsabilité limitée
1,81,,,
5,89,14.0,014,Société anonyme
3,89,610.0,610,Société à responsabilité limitée
1,89,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
6,89,610.0,610,Société à responsabilité limitée
