NaceCodeGroup,NaceDescription_FR,JuridicalForm,JuridicalForm_FR,EnterpriseCount
42,Génie civil,721.0,,1031
59,"Production de films cinématographiques, de vidéos et de programmes de télévision; enregistrement sonore et édition musicale",17.0,,1031
68,Activités immobilières,721.0,,1022
92,Activités de jeux d’argent et de paris,610.0,,1001
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles; fabrication d’articles en vannerie et sparterie",612.0,,998
43,Travaux de construction spécialisés,3.0,,992
26,"Fabrication de produits informatiques, électroniques et optiques",610.0,,981
59,"Production de films cinématographiques, de vidéos et de programmes de télévision; enregistrement sonore et édition musicale",612.0,,977
64,"Activités de services financiers, hors assurance et fonds de pension",,,976
63,"Infrastructure informatique, traitement de données et autres activités de service d'information",14.0,,972
88,Activités d’action sociale sans hébergement,610.0,,940
41,Construction de bâtiments résidentiels et non résidentiels,612.0,,939
28,Fabrication de machines et équipements nca,,,936
77,Activités de location et location-bail,612.0,,935
93,Activités sportives et activités récréatives et de loisirs,14.0,,935
12,Fabrication de produits à base de tabac,610.0,,931
64,"Activités de services financiers, hors assurance et fonds de pension",11.0,,929
28,Fabrication de machines et équipements nca,14.0,,923
64,"Activités de services financiers, hors assurance et fonds de pension",12.0,,921
93,Activités sportives et activités récréatives et de loisirs,11.0,,909
70,Activités des sièges sociaux et conseil de gestion,3.0,,906
42,Génie civil,14.0,,903
68,Activités immobilières,17.0,,902
90,Activités de création artistique et de spectacle,11.0,,901
47,Commerce de détail,721.0,,892
38,"Collecte, valorisation et élimination des déchets;",,,880
14,Industrie de l’habillement,721.0,,874
11,Fabrication de boissons,612.0,,872
25,"Fabrication de produits métalliques, à l’exception des machines et des équipements",15.0,,872
50,Transport par eau,,,868
27,Fabrication d’équipements électriques,,,866
20,Industrie chimique,,,864
33,"Réparation, entretien et installation de machines et d’équipements",612.0,,853
70,Activités des sièges sociaux et conseil de gestion,17.0,,848
71,Activités d’architecture et d’ingénierie; activités de contrôle et analyses techniques,721.0,,845
94,Activités des organisations associatives,125.0,,832
